term,anchor,notes
AggregateSet,aggregateset,Backfilled for DONE-card glossary linkage from the shipped spec body.
apply_cascade_permissions,apply_cascade_permissions,Backfilled for DONE-card glossary linkage from the shipped spec body.
BigInt,bigint-scalar,Backfilled for DONE-card glossary linkage from the shipped spec body.
ConfigurationError,configurationerror,Backfilled for DONE-card glossary linkage from the shipped spec body.
definition-order independence,definition-order-independence,Backfilled for DONE-card glossary linkage from the shipped spec body.
DjangoConnectionField,djangoconnectionfield,Backfilled for DONE-card glossary linkage from the shipped spec body.
DjangoOptimizerExtension,djangooptimizerextension,Backfilled for DONE-card glossary linkage from the shipped spec body.
DjangoType,djangotype,Backfilled for DONE-card glossary linkage from the shipped spec body.
FilterSet,filterset,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.choice_enum_names,metachoice_enum_names,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.description,metadescription,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.exclude,metaexclude,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.fields,metafields,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.interfaces,metainterfaces,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.model,metamodel,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.name,metaname,Backfilled for DONE-card glossary linkage from the shipped spec body.
only(),only-projection,Backfilled for DONE-card glossary linkage from the shipped spec body.
OrderSet,orderset,Backfilled for DONE-card glossary linkage from the shipped spec body.
per-field permission hooks,per-field-permission-hooks,Backfilled for DONE-card glossary linkage from the shipped spec body.
Relay node,relay-node-integration,Backfilled for DONE-card glossary linkage from the shipped spec body.
Scalar field conversion,scalar-field-conversion,Backfilled for DONE-card glossary linkage from the shipped spec body.
