term,anchor,notes
DjangoType,djangotype,Base class whose scalar-override gap this card closes.
Scalar field conversion,scalar-field-conversion,Auto-synthesized scalar annotation path this card lets consumers override.
Scalar field override semantics,scalar-field-override-semantics,Glossary entry this card flips to shipped (0.0.6).
Specialized scalar conversions,specialized-scalar-conversions,Home of ArrayField/HStoreField/BigInt — referenced in the H2 converter-bypass discussion.
Choice enum generation,choice-enum-generation,Shared-enum cache that the H2 converter-bypass discussion explicitly bypasses for overridden choice fields.
Relation handling,relation-handling,Relation-override path whose annotation-only contract this card mirrors for scalars.
Relay Node integration,relay-node-integration,Broader contract that the H1 collision guard protects; relay.NodeID escape hatch lives here.
Definition-order independence,definition-order-independence,Foundation slice that pinned the relation-field override contract.
ConfigurationError,configurationerror,Raised at type-creation time for unsupported shadow shapes; one new error site added by the H1 Relay collision guard.
finalize_django_types,finalize_django_types,Synchronization point that runs after subclass collection; H2 bypass interaction surfaces here.
Meta.fields,metafields,Selection mechanism — fields a DjangoType pulls in and can override.
Meta.exclude,metaexclude,Existing recourse for dropping a field; annotation override is the parallel recourse this card lands.
Meta.interfaces,metainterfaces,Central to the H1 Relay collision guard — relay.Node is declared here.
Meta.primary,metaprimary,Adjacent 0.0.6 card that introduced multi-type DjangoType support; referenced in non-goals.
