term,anchor,notes
DjangoConnectionField,djangoconnectionfield,The Relay connection field this card ships; shipped (0.0.9).
DjangoConnection,djangoconnection,The generic DjangoConnection[T] ListConnection subclass return alias the consumer annotates; the factory always resolves it to a generated concrete <TypeName>Connection. Shipped (0.0.9).
DjangoListField,djangolistfield,"The shipped non-Relay list[T] sibling whose factory mechanism / sync-async wrappers / root-gated optimizer cooperation this card mirrors (Decisions 5, 10, 11)."
DjangoNodeField,djangonodefield,Root single-node lookup shipped by the Full Relay story (DONE-032-0.0.9) in django_strawberry_framework/relay.py; NOT this card. Cited because it shares the finalizer auto-trigger seam Decision 12 declines to build.
Relay Node integration,relay-node-integration,"The shipped 0.0.5 foundation (Meta.interfaces relay.Node, injected resolve_* defaults, id GlobalID!) a connection field is only meaningful over."
Meta.interfaces,metainterfaces,"Declares relay.Node; Decision 8 rejects Meta.connection on a type that is not Relay-Node-shaped by either spelling - relay.Node in Meta.interfaces, or direct relay.Node inheritance."
Meta.connection,metaconnection,"The type-level Relay connection options key this card ships; 0.0.9 accepts {""total_count"": bool}, requires a Relay-Node-shaped type (relay.Node in Meta.interfaces or direct inheritance), and drives the per-target connection class shape. Shipped (0.0.9)."
FilterSet,filterset,The shipped filter subsystem the connection field's filter: argument is auto-derived from; reuses apply_sync / apply_async.
filter_input_type,filter_input_type,The shipped resolver-argument helper whose lazy Annotated machinery and orphan-validation ledger the connection field's filter: argument reuses (Decision 6).
Meta.filterset_class,metafilterset_class,The per-type sidecar key driving the filter: argument generation.
OrderSet,orderset,The shipped ordering subsystem the orderBy: argument is auto-derived from; reuses apply_sync / apply_async.
order_input_type,order_input_type,The shipped element-type helper wrapped as list[order_input_type(...)] for the list-shaped orderBy: argument (Decision 6).
Meta.orderset_class,metaorderset_class,The per-type sidecar key driving the orderBy: argument generation.
Ordering,ordering,The direction enum the generated order input leaves resolve to; list-element order is the multi-field tie-breaker.
RelatedFilter,relatedfilter,Cross-relation filter traversal whose active-branch get_queryset scoping the connection field inherits unchanged via apply_sync/async.
RelatedOrder,relatedorder,Cross-relation order traversal; same active-branch gate inheritance as RelatedFilter.
get_queryset visibility hook,get_queryset-visibility-hook,"Runs FIRST in the composition order (Decision 7); the scope filter, order, and cursor slice all narrow."
DjangoOptimizerExtension,djangooptimizerextension,"The optimizer the connection field cooperates with; because connection slicing hides the pre-slice queryset from the middleware, the field owns its own cooperation point and derives the node type's plan from the edges { node } selections (Decision 11)."
Plan cache,plan-cache,The optimizer's per-request plan cache the connection field's root queryset planning rides; preserved by the singleton-factory extension form.
only() projection,only-projection,Part of the root-gated plan a root connection field's pre-slice queryset receives (Decision 11).
FK-id elision,fk-id-elision,Optimizer surface the connection field's root queryset planning rides unchanged.
Queryset diffing,queryset-diffing,Optimizer cooperation rule that reconciles the connection field's resolved queryset with consumer-applied work.
Strictness mode,strictness-mode,"The ""raise"" mode the Slice 3 test uses to pin that a genuinely unplanned relation reached through a connection's edges { node } response path still surfaces as an N+1 - the connection response shape does not blind the detector."
Connection-aware optimizer planning,connection-aware-optimizer-planning,The sibling DONE-033-0.0.9 card teaching the walker to recognize and window-plan NESTED <field>Connection selections; it plugs into this card's cooperation point rather than retrofitting the field. Its status is that card's to set and reads shipped (0.0.9).
finalize_django_types,finalize_django_types,The single-threaded schema-setup point; the connection field does NOT auto-trigger it in 0.0.9 (Decision 12) and registers derived sets against its orphan-validation ledgers.
ConfigurationError,configurationerror,"Raised at construction / type-creation time for the connection field's validation failures (non-DjangoType, non-Relay target, bad Meta.connection)."
