term,anchor,notes
Debug-toolbar middleware,debug-toolbar-middleware,"the subject of the spec; GLOSSARY status planned for 0.0.14 until the joint cut flips it (groups: DebugToolbarMiddleware, debug_toolbar.middleware.DebugToolbarMiddleware, process_view, _postprocess, _get_payload, _HTML_TYPES, debugToolbar payload key, requestId, TemplatesPanel skip, SQLPanel, enabled_panels, has_content, nav_subtitle, DjangoJSONEncoder, render_to_string, Content-Length refresh, response.streaming skip, _is_graphiql, view_class, strawberry.django.views.BaseView detection (Decision 7), introspection-query skip (Decision 8), debug_toolbar_urls(), djdt namespace, render_panel content/scripts JSON, NoReverseMatch missing-URLconf failure mode, show_toolbar gating, SHOW_TOOLBAR_CALLBACK, DEBUG_TOOLBAR_CONFIG, INTERNAL_IPS, show_toolbar_func_or_path cache_clear, DebugToolbar._panel_classes/_urlpatterns save/clear/restore, staticfiles + STATIC_URL prerequisite, templates/django_strawberry_framework/debug_toolbar.html, JSON.parse / Response.prototype.json patch, template-port guard (Test 16), django-graphiql-debug-toolbar lineage)"
Response-extensions debug middleware,response-extensions-debug-middleware,"the sibling 0.0.14 card (TODO-ALPHA-044) this card is deliberately distinct from - in-response extensions[""debug""], graphene parity, a Strawberry SchemaExtension; the ""distinct from"" cross-links stay accurate in Slice 2"
Soft dependency,soft-dependency,"the pattern django-debug-toolbar joins as the third instance (groups: require_debug_toolbar, _DEBUG_TOOLBAR_INSTALL_HINT, install-hint ImportError with chained __cause__, django-debug-toolbar>=7.0.0 dev-group gate, uv.lock regeneration, three-places-that-must-agree rule, no-extras contract, import-time guard / rest_framework shape)"
PEP 562 lazy export,pep-562-lazy-export,"cited as the CONTRAST: this card deliberately does NOT use the router's lazy-symbol shape - the leaf-module import is the opt-in, so the guard runs at import time (Decision 5's decision rule: a top-level module lazies; a dedicated opt-in leaf guards at import)"
Eviction-simulated absence,eviction-simulated-absence,"the toolbar-absent test discipline (groups: builtins.__import__ block scoped to absolute top-level debug_toolbar names only, sys.modules eviction/restore, two-sided parent-attribute restore, _HINT_SUBSTRING re-typed-literal drift-catch, pytest-xdist / --dist loadscope order-independence, D3 third-copy extraction call, Tests 9-12)"
require_optional_module,require_optional_module,"the utils/imports.py primitive (landed spec-041 Slice 1) require_debug_toolbar() thinly wraps - never a fourth hand-rolled import pattern (Helper-reuse D1); no memoization (D4)"
Joint version cut,joint-version-cut,"Decision 10: two open 0.0.14 siblings remain (043 / 044) and DONE-041 already deferred, so the last card to land owns the version quintet and release-status flips; uv.lock dependency entries are not version state"
Live-first coverage mandate,live-first-coverage-mandate,"Decision 9: fakeshop's shipped settings deliberately carry no soft-dependency middleware, so tests/middleware/ with per-test settings overrides is the honest placement - real in-process fakeshop requests, package-test home; fail_under = 100 gate; promotion rule applies if fakeshop ever opts in (TODO-BETA-053)"
Schema reload discipline,schema-reload-discipline,"Decision 9 / Risks: the toolbar-present fixture's setup-time schema_reload.reload_all_project_schemas() call, first, before the URLconf steps - the acceptance suites' order-independence-by-reconstruction answer to package-test registry.clear() (groups: LazyType KeyError, DuplicatedTypeName, config.schema aggregate build, --dist loadscope shared-worker flake, single-sited examples/fakeshop/schema_reload.py)"
seed_data,seed_data,"the repo's seed-helper rule: every product-query test's first executable line is seed_data(1) (or an explicit seed_data(N)) from apps.products.services - the panel payload does not depend on row counts, but the query must hit real rows to emit SQL (Tests 3 and 6)"
Single-upstream parity,single-upstream-parity,"the card's Required strawberry parity tag: strawberry-graphql-django ships middlewares/debug_toolbar.py, graphene-django ships NO equivalent (its debug story is the sibling card's in-response DjangoDebug territory) - honest single-upstream parity, the spec-040/spec-041 posture"
Auth mutations,auth-mutations,"spec-040's surface, cited as the single-upstream-parity posture precedent (the ""same posture spec-040 took for the auth module"")"
DjangoGraphQLProtocolRouter,djangographqlprotocolrouter,"the 0.0.14 predecessor (DONE-041) whose soft-channels work landed require_optional_module and the two-sided-restore discipline; also the contrast case for the import-time-vs-lazy guard shapes, and the not-a-Channels-integration boundary's named neighbor"
SerializerMutation,serializermutation,"the original soft-dependency precedent (require_drf, rest_framework/__init__.py import-time guard shape, _HINT_SUBSTRING discipline) Decision 5 mirrors"
TestClient,testclient,"sibling 0.0.14 card (TODO-ALPHA-043); its AsyncTestClient is the named natural owner of the async-verification handoff in Risks; this card's tests use django.test.Client directly"
GraphQLTestCase,graphqltestcase,sibling 0.0.14 card surface named beside TestClient
DjangoOptimizerExtension,djangooptimizerextension,"why the SQL panel matters for this package: the panel is how a developer sees the optimizer's plan (select_related / prefetch_related / only() / FK-id elision) as executed queries during a /graphql/ request; Tests 3+ emit real SQL through the real optimizer"
Django AppConfig,django-appconfig,"what makes the in-package template resolvable: consumers already list django_strawberry_framework in INSTALLED_APPS, so the app-dirs loader finds templates/django_strawberry_framework/debug_toolbar.html (Decision 4; TemplateDoesNotExist edge case)"
ConfigurationError,configurationerror,"explicitly NOT used by this card: the failure mode is a missing optional dependency at import time (ImportError with install hint), not configuration validation"
only() projection,only-projection,part of the optimizer plan the SQL panel makes visible (Problem statement / Goals)
FK-id elision,fk-id-elision,part of the optimizer plan the SQL panel makes visible (Problem statement)
request_from_info,request_from_info,"Helper-reuse D-N2 non-reuse: the middleware is a Django HTTP middleware on the raw request/response pair, not a resolver-context surface - the helper's single-siting rule does not apply here"
Upload,upload-scalar,"edge case: a multipart upload request's consumed body degrades the operationName sniff to None (inject normally) - degradation identical to upstream, not breakage"
Django Trac #37064 hardening,django-trac-37064-hardening,"cited as the existing reason consumers already list the package in INSTALLED_APPS - the same install step the template resolution relies on"
