term,anchor,notes
ConfigurationError,configurationerror,Backfilled for DONE-card glossary linkage from the shipped spec body.
Definition-order independence,definition-order-independence,Backfilled for DONE-card glossary linkage from the shipped spec body.
DjangoConnectionField,djangoconnectionfield,Backfilled for DONE-card glossary linkage from the shipped spec body.
DjangoNodeField,djangonodefield,Backfilled for DONE-card glossary linkage from the shipped spec body.
DjangoType,djangotype,Backfilled for DONE-card glossary linkage from the shipped spec body.
finalize_django_types,finalize_django_types,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.fields,metafields,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.primary,metaprimary,Backfilled for DONE-card glossary linkage from the shipped spec body.
Relay node,relay-node-integration,Backfilled for DONE-card glossary linkage from the shipped spec body.
schema audit,schema-audit,Backfilled for DONE-card glossary linkage from the shipped spec body.
