term,anchor,notes
DjangoConnectionField,djangoconnectionfield,The Relay connection field this card ships; status flips planned for 0.0.9 -> shipped (0.0.9).
DjangoConnection,djangoconnection,The generic DjangoConnection[T] ListConnection subclass return alias; status flips planned for 0.0.9 -> shipped (0.0.9).
DjangoListField,djangolistfield,The shipped non-Relay list[T] sibling whose factory mechanism / sync-async wrappers / root-gated optimizer cooperation this card mirrors (Decisions 5, 10, 11).
DjangoNodeField,djangonodefield,Planned root single-node lookup; NOT this card (lands with the Full Relay story, WIP-032); shares the finalizer auto-trigger seam Decision 12 declines.
Relay Node integration,relay-node-integration,The shipped 0.0.5 foundation (Meta.interfaces relay.Node, injected resolve_* defaults, id GlobalID!) a connection field is only meaningful over.
Meta.interfaces,metainterfaces,Declares relay.Node; Decision 8 rejects Meta.connection on a type whose interfaces omit relay.Node.
Meta.connection,metaconnection,The new type-level Relay connection options key; 0.0.9 accepts {"total_count": bool}, requires Meta.interfaces relay.Node, and drives the per-target connection class shape.
FilterSet,filterset,The shipped filter subsystem the connection field's filter: argument is auto-derived from; reuses apply_sync / apply_async.
filter_input_type,filter_input_type,The shipped resolver-argument helper whose lazy Annotated machinery and orphan-validation ledger the connection field's filter: argument reuses (Decision 6).
Meta.filterset_class,metafilterset_class,The per-type sidecar key driving the filter: argument generation.
OrderSet,orderset,The shipped ordering subsystem the orderBy: argument is auto-derived from; reuses apply_sync / apply_async.
order_input_type,order_input_type,The shipped element-type helper wrapped as list[order_input_type(...)] for the list-shaped orderBy: argument (Decision 6).
Meta.orderset_class,metaorderset_class,The per-type sidecar key driving the orderBy: argument generation.
Ordering,ordering,The direction enum the generated order input leaves resolve to; list-element order is the multi-field tie-breaker.
RelatedFilter,relatedfilter,Cross-relation filter traversal whose active-branch get_queryset scoping the connection field inherits unchanged via apply_sync/async.
RelatedOrder,relatedorder,Cross-relation order traversal; same active-branch gate inheritance as RelatedFilter.
get_queryset visibility hook,get_queryset-visibility-hook,Runs FIRST in the composition order (Decision 7); the scope filter, order, and cursor slice all narrow.
DjangoOptimizerExtension,djangooptimizerextension,The optimizer the connection field cooperates with; in 0.0.9 rides the existing root-gated flat-selection walker (Decision 11).
Plan cache,plan-cache,The optimizer's per-request plan cache the connection field's root queryset planning rides; preserved by the singleton-factory extension form.
only() projection,only-projection,Part of the root-gated plan a root connection field's pre-slice queryset receives (Decision 11).
FK-id elision,fk-id-elision,Optimizer surface the connection field's root queryset planning rides unchanged.
Queryset diffing,queryset-diffing,Optimizer cooperation rule that reconciles the connection field's resolved queryset with consumer-applied work.
Strictness mode,strictness-mode,The "raise" mode the Slice 3 test uses to pin that an unplanned nested-connection access still surfaces as an N+1 (the seam WIP-033 closes).
Connection-aware optimizer planning,connection-aware-optimizer-planning,The deferred sibling WIP-033 card teaching the walker to recognize edges { node }; takes over without retrofit; stays planned for 0.0.9.
finalize_django_types,finalize_django_types,The single-threaded schema-setup point; the connection field does NOT auto-trigger it in 0.0.9 (Decision 12) and registers derived sets against its orphan-validation ledgers.
ConfigurationError,configurationerror,Raised at construction / type-creation time for the connection field's validation failures (non-DjangoType, non-Relay target, bad Meta.connection).
DjangoType,djangotype,The model-backed type the connection field wraps.
Meta.primary,metaprimary,Multi-DjangoType-per-model rule; a connection field may wrap a secondary type, and the relation-as-connection upgrade (WIP-032) must choose the primary.
SyncMisuseError,syncmisuseerror,The typed marker the Relay-foundation get_queryset helpers raise when a sync resolver context meets an async get_queryset; the connection field inherits the contract (Decision 10).
strawberry_config,strawberry_config,The scalar-map factory every example schema passes to strawberry.Schema alongside the singleton-factory optimizer extension.
Public exports,public-exports,The top-level package import surface Slice 4 promotes DjangoConnectionField and DjangoConnection into once live usage proves them.
Definition-order independence,definition-order-independence,The finalize-time type-collection model behind the no-auto-finalize posture and the existing finalize_django_types synchronization contract.
Meta.model,metamodel,The baseline DjangoType model binding shown in every connection-field example.
Meta.fields,metafields,The baseline DjangoType field-selection key shown in the connection-field example and used to frame the new Meta.connection key.
Meta.exclude,metaexclude,The sibling baseline field-selection key in ALLOWED_META_KEYS that helps orient the new Meta.connection validation work.
Meta.name,metaname,The shipped GraphQL type-name override that implementers must consider when deriving stable concrete connection class names.
Meta.description,metadescription,The shipped GraphQL type-description key in the baseline Meta surface that the new Meta.connection key joins.
Meta.nullable_overrides,metanullable_overrides,The shipped 0.0.9 baseline Meta key in ALLOWED_META_KEYS that frames Meta.connection as another direct key rather than deferred promotion.
Meta.required_overrides,metarequired_overrides,The companion 0.0.9 baseline Meta key in ALLOWED_META_KEYS that frames Meta.connection as another direct key rather than deferred promotion.
Relation handling,relation-handling,The current relation-list behavior that WIP-032 upgrades to relation-as-Connection after this card lands.
Meta.search_fields,metasearch_fields,0.1.2 surface; the search: connection argument is absent in 0.0.9 (out of scope).
FieldSet,fieldset,0.1.1 Layer-3 sidecar; field-selection composition layers on after the connection field (out of scope).
Meta.fields_class,metafields_class,0.1.1 key wiring FieldSet; out of scope.
AggregateSet,aggregateset,0.1.3 Layer-3 sidecar; the aggregates connection argument (out of scope).
Meta.aggregate_class,metaaggregate_class,0.1.3 key; out of scope.
RelatedAggregate,relatedaggregate,0.1.3 aggregate-relation symbol appearing in the reference-package parity checkpoint table.
apply_cascade_permissions,apply_cascade_permissions,0.0.10 permissions hook; the connection field respects get_queryset immediately and integrates when permissions land (out of scope).
Multi-database cooperation,multi-database-cooperation,The .using(alias) _db-preservation contract the connection field's queryset flows through unchanged.
OptimizerHint,optimizerhint,Per-relation override on the wrapped type; unchanged by the connection field, which plans against the root queryset.
Meta.optimizer_hints,metaoptimizer_hints,The Meta key carrying OptimizerHint values; unchanged by the connection field.
Cross-subsystem invariants,cross-subsystem-invariants,The 1.0.0 rule that every Layer-3 argument composes with the optimizer; this card is the field that composition runs through.
