term,anchor,notes
DjangoType,djangotype,Base class extended by this card
Meta.primary,metaprimary,New flag introduced by this card
Meta.model,metamodel,Required Django model reference
Meta.name,metaname,Type-name override
Meta.interfaces,metainterfaces,Strawberry interface bases
ConfigurationError,configurationerror,Misuse-time exception
finalize_django_types,finalize_django_types,Pending-relation resolver
DjangoOptimizerExtension,djangooptimizerextension,Optimizer schema extension
Relation handling,relation-handling,Relation-cardinality mapping
Schema audit,schema-audit,Compile-time validation pass
Plan cache,plan-cache,Optimizer plan memoization
Choice enum generation,choice-enum-generation,Auto-generated GraphQL enums
Relay Node integration,relay-node-integration,Strawberry Relay support
