term,anchor,notes
Multi-database cooperation,multi-database-cooperation,The shipped four-axis statement of the contract this spec pins; the spec's Decision 3 is its long form.
DjangoOptimizerExtension,djangooptimizerextension,Optimizer extension that participates in the cooperation contract via queryset `_db` preservation.
get_queryset visibility hook,get_queryset-visibility-hook,Visibility hook whose `Prefetch` downgrade preserves consumer-provided `Prefetch(queryset=…)` aliases — cooperation axis 3; a generated child queryset carries no alias in the plan and is routed alias-late at fetch time.
Strictness mode,strictness-mode,Strictness check is connection-agnostic — cooperation axis 4; the same `OptimizerError` shape surfaces under any alias.
Queryset diffing,queryset-diffing,Cooperation rule that respects consumer-applied work including `.using(alias)`; grounds the contract in shipped behavior.
FK-id elision,fk-id-elision,Cooperation axis 1 — the elision stub's `_state.db` is set via `router.db_for_read`.
DjangoType,djangotype,Consumer-facing type used in fixtures; framing only.
finalize_django_types,finalize_django_types,Synchronization point; tests finalize once per fixture exactly like existing optimizer tests.
ConfigurationError,configurationerror,Not raised by this card; cited so future-spec authors see the cooperation surface is intentionally validation-free.
DjangoListField,djangolistfield,Sibling `0.0.7` card (`DONE-020-0.0.7`); cited in joint-cut framing.
Django AppConfig,django-appconfig,Sibling `0.0.7` card (`DONE-021-0.0.7`); cited in joint-cut framing.
Schema export management command,schema-export-management-command,Sibling `0.0.7` card (`DONE-022-0.0.7`); cited in joint-cut framing.
Plan cache,plan-cache,Plan cache key does not include database alias; edge-case clarification.
only() projection,only-projection,Part of the optimizer's `select_related` / `prefetch_related` / `only()` plan that preserves queryset `_db`.
Connection-aware optimizer planning,connection-aware-optimizer-planning,Out of scope — `edges { node { ... } }` planning, not database-connection planning despite the overlapping word.
AggregateSet,aggregateset,Out of scope — multi-shard aggregates deferred to the future `AggregateSet` (planned for `0.1.3`).
OptimizerHint,optimizerhint,Referenced in the axis-3 contract — consumer-built `OptimizerHint.prefetch(Prefetch(queryset=…))` is the supported route for fixing a per-relation alias at plan time.
Meta.optimizer_hints,metaoptimizer_hints,Referenced by the consumer-provided Prefetch/OptimizerHint path; records that per-relation optimizer overrides are configured through the type Meta.
