term,anchor,notes
`FieldSet`,fieldset,planned for 0.1.1 (card 055); consumes FieldDependencyPlan
`AggregateSet`,aggregateset,planned for 0.1.3 (card 058); consumes EdgeScope
`RelatedAggregate`,relatedaggregate,planned aggregate child construct
`get_child_queryset`,get_child_queryset,aggregate child hook; superseded consumer is EdgeScope
`Meta.search_fields`,metasearch_fields,planned for 0.1.2 (card 056)
`Meta.fields_class`,metafields_class,card 055 Meta key
`Meta.filterset_class`,metafilterset_class,sidecar Set precedent
`Meta.orderset_class`,metaorderset_class,sidecar Set precedent
`Meta.primary`,metaprimary,exact-owner re-entry depends on multi-type-per-model
`get_queryset` visibility hook,get_queryset-visibility-hook,binding slot for PredicatePlan and EdgeScope
`apply_cascade_permissions`,apply_cascade_permissions,forward-only cascade; EdgeScope is the to-many complement
`DjangoOptimizerExtension`,djangooptimizerextension,memo lifecycle boundary
Connection-aware optimizer planning,connection-aware-optimizer-planning,windowed nested strategy the proof vocabulary feeds
Plan cache,plan-cache,cross-request cache request values must stay out of
Strictness mode,strictness-mode,edge plans publish keys only after attachment
Multi-database cooperation,multi-database-cooperation,memo keys carry the database alias
`FilterSet`,filterset,row-preserving leaf strategy owner
`RelatedFilter`,relatedfilter,parent-PK-subquery sibling strategy
`finalize_django_types`,finalize_django_types,phase-2.5 validation seam for Meta.edge_scopes
`DjangoType`,djangotype,owning surface for exact-owner identity
`DjangoConnectionField`,djangoconnectionfield,connection surface consuming the substrate
`ConfigurationError`,configurationerror,finalize-time rejection of invalid edge_scopes
Joint version cut,joint-version-cut,Decision 10 release-state ownership
`Meta.relation_shapes`,metarelation_shapes,two-stage validation precedent for Meta.edge_scopes
`request_from_info`,request_from_info,only supported request resolver; scope_key builds on it
`SyncMisuseError`,syncmisuseerror,color-misuse error for async edge_scopes factories
Sealed execution queryset,sealed-execution-queryset,graph.apply outputs pass the same seal
Visibility boundary,visibility-boundary,seal contract edge factories compose under
