term,anchor,notes
`FilterSet`,filterset,query-side set family; delegate absorption B1
`OrderSet`,orderset,query-side set family; delegate absorption B1
`DjangoMutation`,djangomutation,write-side set family; PermissionClassesMixin B2
`DjangoFormMutation`,djangoformmutation,plain-form flavor; alias-guard gap C2
`DjangoModelFormMutation`,djangomodelformmutation,ModelForm flavor riding shared skeleton
`SerializerMutation`,serializermutation,serializer flavor; conversion spine stays separate (C10)
`DjangoType`,djangotype,type system whose definitions feed the optimizer
`finalize_django_types`,finalize_django_types,builds DjangoTypeDefinition; Decision 1 evidence
`DjangoOptimizerExtension`,djangooptimizerextension,optimizer entry point; boundary work
`OptimizerHint`,optimizerhint,part of promoted optimizer surface (Decision 4)
Connection-aware optimizer planning,connection-aware-optimizer-planning,D1 territory
Plan cache,plan-cache,hot-path exclusion rationale (Decision 9)
Strictness mode,strictness-mode,D1 accounting constraint
FK-id elision,fk-id-elision,DST_OPTIMIZER_FK_ID_ELISIONS context name (Decision 4)
`DjangoConnection`,djangoconnection,dispatch tails C6
Soft dependency,soft-dependency,extras advertise these seams (Decision 5)
Hard dependency,hard-dependency,strawberry-graphql is hard; contrast for extras
`require_optional_module`,require_optional_module,runtime guards unchanged by extras
Input type generation,input-type-generation,inputs axis
Scalar field conversion,scalar-field-conversion,conversion pipelines
Choice enum generation,choice-enum-generation,two caches deliberately separate (Decision 8)
`filter_input_type`,filter_input_type,filter input pipeline C3
`order_input_type`,order_input_type,order input pipeline
`Upload` scalar,upload-scalar,column-backed 3-branch C10
Per-field permission hooks,per-field-permission-hooks,query-side permission plumbing B1
`request_from_info`,request_from_info,delegate being absorbed B1
`FieldError` envelope,fielderror-envelope,error contract preserved byte-identically
Multi-database cooperation,multi-database-cooperation,alias-guard machinery (Decision 6)
Relation handling,relation-handling,relation decoder D3
Relay Node integration,relay-node-integration,relation_id_scalar B3
`Ordering`,ordering,orders input leaf
`ConfigurationError`,configurationerror,raise type for hoisted validators
Joint version cut,joint-version-cut,card 044 owns 0.0.14; this card is lone at 0.0.16
Live-first coverage mandate,live-first-coverage-mandate,test plan discipline
Cookbook parity,cookbook-parity,dead-delegate deletion gate (Risks)
`DjangoDebugExtension`,djangodebugextension,spec-044 ships it; spec-045 extracts it - both sequencing dependencies
