term,anchor,notes
Choice enum generation,choice-enum-generation,Backfilled for DONE-card glossary linkage from the shipped spec body.
ConfigurationError,configurationerror,Backfilled for DONE-card glossary linkage from the shipped spec body.
Definition-order independence,definition-order-independence,Backfilled for DONE-card glossary linkage from the shipped spec body.
DjangoOptimizerExtension,djangooptimizerextension,Backfilled for DONE-card glossary linkage from the shipped spec body.
DjangoType,djangotype,Backfilled for DONE-card glossary linkage from the shipped spec body.
finalize_django_types,finalize_django_types,Backfilled for DONE-card glossary linkage from the shipped spec body.
FK-id elision,fk-id-elision,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.interfaces,metainterfaces,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.model,metamodel,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.name,metaname,Backfilled for DONE-card glossary linkage from the shipped spec body.
Meta.primary,metaprimary,Backfilled for DONE-card glossary linkage from the shipped spec body.
Plan cache,plan-cache,Backfilled for DONE-card glossary linkage from the shipped spec body.
Relation handling,relation-handling,Backfilled for DONE-card glossary linkage from the shipped spec body.
Relay Node integration,relay-node-integration,Backfilled for DONE-card glossary linkage from the shipped spec body.
Schema audit,schema-audit,Backfilled for DONE-card glossary linkage from the shipped spec body.
