term,anchor,notes
Debug-toolbar middleware,debug-toolbar-middleware,"the subject of the spec; GLOSSARY status planned for 0.0.14 until the joint cut flips it (groups: DebugToolbarMiddleware, debug_toolbar.middleware.DebugToolbarMiddleware, process_view, _postprocess, _get_payload, _HTML_TYPES, debugToolbar payload key, requestId, TemplatesPanel skip, SQLPanel, enabled_panels, has_content, nav_subtitle, DjangoJSONEncoder, render_to_string, Content-Length refresh, response.streaming skip, _is_graphiql, view_class, django-graphiql-debug-toolbar lineage, SHOW_TOOLBAR_CALLBACK, DEBUG_TOOLBAR_CONFIG, INTERNAL_IPS, templates/django_strawberry_framework/debug_toolbar.html, JSON.parse / Response.prototype.json patch)"
DebugToolbarMiddleware,debug-toolbar-middleware,"the class symbol itself - same class name as upstream and the stock toolbar, distinguished by the dotted settings path (Decision 3); second surface form of the subject entry"
Response-extensions debug middleware,response-extensions-debug-middleware,"the sibling 0.0.14 card (TODO-ALPHA-044) this card is deliberately distinct from - in-response extensions[""debug""], graphene parity, a Strawberry SchemaExtension; the ""distinct from"" cross-links stay accurate in Slice 2"
Soft dependency,soft-dependency,"the pattern django-debug-toolbar joins as the third instance (groups: require_debug_toolbar, _DEBUG_TOOLBAR_INSTALL_HINT, django-debug-toolbar>=7.0.0 dev-group gate, uv.lock regeneration, three-places-that-must-agree rule, no-extras contract)"
PEP 562 lazy export,pep-562-lazy-export,"cited as the CONTRAST: this card deliberately does NOT use the router's lazy-symbol shape - the leaf-module import is the opt-in, so the guard runs at import time (Decision 5's decision rule: a top-level module lazies; a dedicated opt-in leaf guards at import)"
Eviction-simulated absence,eviction-simulated-absence,"the toolbar-absent test discipline (groups: builtins.__import__ block, sys.modules eviction/restore, two-sided parent-attribute restore, _HINT_SUBSTRING re-typed-literal drift-catch, pytest-xdist order-independence, Tests 9-12)"
require_optional_module,require_optional_module,"the utils/imports.py primitive (landed spec-041 Slice 1) require_debug_toolbar() thinly wraps - never a fourth hand-rolled import pattern (Helper-reuse D1); no memoization (D4)"
Joint version cut,joint-version-cut,"Decision 10: two open 0.0.14 siblings remain (043 / 044) and DONE-041 already deferred, so the last card to land owns the version quintet and release-status flips; uv.lock dependency entries are not version state"
Live-first coverage mandate,live-first-coverage-mandate,"Decision 9: fakeshop's shipped settings deliberately carry no soft-dependency middleware, so tests/middleware/ with per-test settings overrides is the honest placement - real in-process fakeshop requests, package-test home; promotion rule applies if fakeshop ever opts in"
DjangoGraphQLProtocolRouter,djangographqlprotocolrouter,"the 0.0.14 predecessor (DONE-041) whose soft-channels work landed require_optional_module and the two-sided-restore discipline; also the contrast case for the import-time-vs-lazy guard shapes"
SerializerMutation,serializermutation,"the original soft-dependency precedent (require_drf, rest_framework/__init__.py import-time guard shape, _HINT_SUBSTRING discipline) Decision 5 mirrors"
TestClient,testclient,"sibling 0.0.14 card (TODO-ALPHA-043); its AsyncTestClient is the named natural owner of the async-verification handoff in Risks"
GraphQLTestCase,graphqltestcase,sibling 0.0.14 card surface named beside TestClient
DjangoOptimizerExtension,djangooptimizerextension,"why the SQL panel matters for this package: the panel is how a developer sees the optimizer's plan as executed queries during a /graphql/ request; Tests 3+ emit real SQL through the real optimizer"
Django AppConfig,django-appconfig,"what makes the in-package template resolvable: consumers already list django_strawberry_framework in INSTALLED_APPS, so the app-dirs loader finds templates/django_strawberry_framework/debug_toolbar.html (Decision 4; TemplateDoesNotExist edge case)"
ConfigurationError,configurationerror,"explicitly NOT used by this card: the failure mode is a missing optional dependency at import time (ImportError with install hint), not configuration validation"
only() projection,only-projection,part of the optimizer plan the SQL panel makes visible (Problem statement / Goals)
FK-id elision,fk-id-elision,part of the optimizer plan the SQL panel makes visible (Problem statement)
request_from_info,request_from_info,"Helper-reuse D-N2 non-reuse: the middleware is a Django HTTP middleware on the raw request/response pair, not a resolver-context surface - the helper's single-siting rule does not apply here"
Upload,upload-scalar,"edge case: a multipart upload request's consumed body degrades the operationName sniff to None (inject normally) - degradation identical to upstream, not breakage"
Django Trac #37064 hardening,django-trac-37064-hardening,"cited as the existing reason consumers already list the package in INSTALLED_APPS - the same install step the template resolution relies on"
